comment_text,comment_speed,comment_service,comment_taste,comment_time
O tavuk suyunu satmayın bence.,10.0,10.0,7.0,1606748183
Kebap biraz daha pisebilirdi onun dışında çok güzel.,10.0,10.0,10.0,1606661783
"Siparişi getiren kardeşimiz gayet özverili ve saygılı. Mezeler gayet güzel. Servis - pide oranı yeterli. Fakat en önemli kriter olan adana kebap da sorun var. Kuyruk yağı oranı çok az. Bu hem lezzette olumsuz yansımış hemde adana kayış gibi olmuş. Biraz hassasiyet ile düzelebilir, elinize saglik...",9.0,9.0,5.0,1606661783
Elinize sağlık her şey 10 numara.,10.0,10.0,10.0,1606661783
Teşekkürler.,10.0,10.0,10.0,1606575383
Gayet güzel ve boldu teşekkürler işletmeye.,10.0,10.0,9.0,1606575383
Yediğim en güzel dürümlerden biri. Tek eksik çok geç geldi 1 saate yakın bekledik.,5.0,10.0,10.0,1606575383
Her zamanki gibi çok iyiydi ayrıca notları okuyorlar.,10.0,10.0,10.0,1606488983
Lezzetine bayıldımız bir yer.,8.0,10.0,10.0,1606488983
Mezeleriniz çok iyi.,10.0,10.0,10.0,1606488983
On numara 5 yıldız kusursuz kurye arkadaş çok mutavezi allah işinizi rast getirsin.,10.0,10.0,10.0,1606402583
İyi.,6.0,6.0,5.0,1606402583
"Acı biber istemiştik, gelmedi. Ve pideye istemiştik, lavaşa yapılmıştı. Lezzet ve hız harika ama notları daha dikkatli okumanız lazım. Elinize sağlık.",10.0,8.0,10.0,1606402583
Lezzet servis ve hız bakımından bu zamana kadar aldığım en iyi hizmetti diyebilirim.,10.0,10.0,10.0,1606402583
"Her şey mükemmeldi. Kebap ve ciğer çok lezzetli, mezeler bol bol gönderilmiş ve notları okuyorlar. Kurye alihan beye de çok teşekkür ederiz iletişimi ve hızı süperdi.",10.0,10.0,10.0,1606316183
Her şey mükemmel elinize sağlık.,10.0,10.0,10.0,1606316183
Müthişti.,10.0,10.0,10.0,1606316183
Herşeyiyle efsane özenle hazırlıyorlar notlara dikkat ediyorlar dürümleri doyurucu işletmeye teşekkür ederim.,10.0,10.0,10.0,1606316183
"20 dakika bile sürmedi siparişin gelmesi. İzmitte yediğim en iyi kebap. Elinize sağlık, bol kazançlar.",10.0,10.0,10.0,1606229783
Her şey çok güzeldi.,10.0,10.0,10.0,1606143383
Teşekkürler.,10.0,10.0,10.0,1606056983
Midelerin bayramı damakların çatlama sebebisiniz ellerinize sağlık baboş.,10.0,10.0,10.0,1605970583
"Lezzet süper, hız mükemmel, servis şahane.",10.0,10.0,10.0,1605884183
Yine her zamanki gibi başarılı.,9.0,10.0,10.0,1605884183
"Mezeler çok bol ve çok lezzetliydi. Hatta restauranttaki her şeyi bize getirmişler gibi düşündük :) ellerinize sağlık. Kuryeniz de çok sıcakkanlıydı, her şey için teşekkür ederiz.",10.0,10.0,9.0,1605884183
Her zamanki gibi leziz hızlı ve güler yüz dolu bir sipariş oldu.,10.0,10.0,10.0,1605797783
Çorbalar leziz dürüm şahane.,9.0,9.0,9.0,1605797783
Lezzetli ve sıcaktı elinize sağlık.,10.0,10.0,10.0,1605711383
Gayet hızlı ve sıcak geldi çokta lezzetliydi tek kelimeyle 10/10.,10.0,10.0,10.0,1605711383
Hiç bozmayın aynen devam.,10.0,10.0,10.0,1605711383
Sürekli sizden yiyorum gerçekten harikasınız emeğinize sağlık bol kazançlar diliyorum.,10.0,10.0,10.0,1605624984
"Mükemmel lezzet, süper hız ve efsane servis.",10.0,10.0,10.0,1605624984
Gayet güzeldi biraz daha sıcak gönderilebilir.,10.0,10.0,10.0,1605624984
"Notları okuyup, servisi çok hızlı ve bol malzemeli, lezzeti de hep istediğim gibi geliyor. Ellerinize sağlık.",10.0,10.0,10.0,1605624984
Her şeyi mi mükemmel olur yahu.,10.0,10.0,10.0,1605452184
"Süper, süper, süper.",10.0,10.0,10.0,1605452184
Baharatı fazlaydı ama lezzetleri yinede güzeldi.,7.0,9.0,7.0,1605452184
Siparişten yaklaşık 1. 30 saat sonra geldi ancak beklediğimize değdi. Her şey muhteşemdi ellerinize sağlık.,10.0,10.0,10.0,1605365784
Ciğer şiş efsane olmuş mezeler müthişti ve sıcak geldi ellerinize sağlık küçük bir rica da bulmuştum fazlasıyla geldi kralsınız baboş.,10.0,10.0,10.0,1605365784
Buz gibi geldi dürümler sardıkları kağıt ıslanmış parçalanmıştı.,5.0,2.0,1.0,1605279384
Adana dürüm lezzet olarak mükemmeldi fakat yoğunluktan sanırım 1 saatten uzun sürede geldi ve soğuktu.,7.0,8.0,10.0,1605106584
Süpersiniz.. Hele o mezeler.,10.0,10.0,10.0,1605106584
İlk defa sipariş verdik adres bulmada az sıkıntı yaşadık ancak lezzet bunu tolere etti ellerinize sağlık.,9.0,10.0,10.0,1605106584
Mezeleri çok güzel kebapta başarılı. Yanında ince lavaş da gönderseniz süper olur. Tatlı ve çiğköfte de olmalı kesinlikle menünüzde.,10.0,10.0,10.0,1605106584
Kurye arkadaş çok sevecen ve kibar bir arkadaştı. Ayrıca sordum hemşerilerimmiş kendileri. Hataylı bu işten anlar on numara yemek on numara hizmet.,10.0,10.0,10.0,1605106584
Adana dürüm efsaneydi.,10.0,10.0,10.0,1605020184
İkramlar cok guzel ve bolca gonderilmis tesekkurler. Yanliz 1 kilo soyledigimiz adana kebapta yag orani cok az geldi bize. Sanki kuyruk yagi pek yok gibi. Lezzeti guzel ama adana kebap biraz dagilmasi lazim. Kuyruk yagi oranina biraz daha dikkat lutfen. Bol kazanclariniz olsun.,9.0,9.0,6.0,1605020184
"Bulgur pilavı haric herşey çok lezzetliydi ama pilav gerçekten tam bir facia, mezelerin lezzeti sayesinde 10 verdim yine ama pilava dikkat lütfen.",9.0,9.0,10.0,1604933784
Notum dikkate alınmıştı. Herşey gayet iyiydi. Hazırlayanın getirenin eline koluna sağlık.,9.0,9.0,9.0,1604847384
Urfa menu guzel kuzu siste lezzetli yanliz lavaş biraz daha ince olursa bence daha lezzetli olur.,10.0,10.0,10.0,1604847384
Muhteşemsiniz elinize sağlık.,10.0,10.0,10.0,1604760984
Yediğim sayılı restoranlardan harikasınız baboş her şey için teşekkürler..,10.0,10.0,10.0,1604760984
Mezeleri bol ve harika lezzet.,10.0,10.0,10.0,1604760984
Kazancınız bol olsun.,10.0,10.0,10.0,1604760984
Elinize sağlık bol koyduğunuz mezelerden dolayı teşekkür ederim.,10.0,10.0,10.0,1604674584
İnanılmaz şekilde hızlı geldi.,10.0,10.0,8.0,1604501784
1. 30 saatte geldi çok soğuktu buz gibiydi geri gönderdim. Aç kaldım. Nazikçe özür dilediler o yüzden servise 6 verdim.,1.0,6.0,1.0,1604501784
Müthiş közde soğan şahane.,10.0,10.0,10.0,1604501784
Dürüm güzel alınır.,9.0,10.0,10.0,1604501784
Hız desen var servis başarılı lezzet inanılmaz. Yemek sepeti sadece baboştan ibaret benim için.,10.0,10.0,10.0,1604501784
Dürümü gerçekten lezzetli çorbayı ve paketlemeyi o kadar başarılı bulmasam da hakkını vermek lazım.,10.0,6.0,8.0,1604328985
Çok iyi.,10.0,10.0,10.0,1604328985
Mezeler gerçekten bol ve güzel. Kurye arkadaş çok kibar hızda güzel. Kebap fena değil. Tavsiye ederim.,10.0,10.0,8.0,1604242585
Çok beyendik adana dürümünü herkese tavsiye ederim.,10.0,10.0,10.0,1604242585
Kusursuz sipariş mezelere çiğköfte eklerseniz daha iyi olur.,10.0,10.0,10.0,1604156185
Teşekkürler.,10.0,10.0,10.0,1604156185
Gerçekten m ü k e m m e l.,10.0,10.0,10.0,1604156185
Kuzu şiş ciğer ve çıtırın lezzetine bayıldık ellerinize sağlık çok güzeldi.,10.0,10.0,10.0,1604156185
Efsane bir yer herkese tavsıye ederım.,10.0,10.0,10.0,1604156185
"Yemekler çok lezzetli, getirme hızı mükkemmel.",10.0,10.0,10.0,1604118439
Lezzeti 9 veriyorum çünkü adanalıyım oradan geldim orada yediklerine hakaret olmasın.,10.0,10.0,9.0,1604118439
Tek kelime ile herşey mükemmel.,10.0,10.0,10.0,1604118439
Arnavut ciğerleri çok fazla pişirilmişti baya siyahtı. Şiş ciğerlerin de bir yüzü kararmıştı fazla pişirilmekten. Ayrıca soğuk geldi maalesef.,7.0,3.0,5.0,1604118439
Mükemmeldi.,10.0,10.0,10.0,1604118439
Gayet güzeldi. Izmitte yediğim nadir iyi adana kebaplardan biriydi. Yanında gelen közlenmiş soğan ve mezeler lezzetliydi. Umarım lezzetini bozmaz...,8.0,8.0,10.0,1604118439
