comment_text,comment_speed,comment_service,comment_taste,comment_time
İyiydi.,10.0,10.0,10.0,1606749721
Kurye güler yüzlü çok iyi.,10.0,10.0,10.0,1606663321
"Hojdur ama benena. Keşke biraz daha ucuz olsa, bütün tükkanı yirdim.",10.0,9.0,10.0,1606663321
Eh.,8.0,8.0,8.0,1606663321
15 dakikada geldi. Kuryeci reisin ismini bilmiyorum ama her geldiğinde hal hatır soruyor çok içten birisi güleryüzlü.,10.0,10.0,10.0,1606663321
"Açıldıkları günden beri kaliteyi değil düşürmek, daha da arttırdıkları için 10dan fazlasını hak etseler de maalesef yemeksepetinin puanlama sınırı bu olduğu için 10 veriyorum. Her restorana örnek olmanız dileğiyle...",10.0,10.0,10.0,1606576921
Kurye cok kibardi. Son siparisimdi. Taşındım. Çizginizi bozmayın lutfen.,10.0,10.0,10.0,1606576921
Turşu için çok teşekürler 10 numara.,10.0,10.0,10.0,1606490521
Sıcacık geldi ve doyurucuydu.,10.0,10.0,9.0,1606404121
Aşırı hızlı geldi ve kurye çok kibardı. Kumru gayet iyi ve sıcaktı.,10.0,10.0,10.0,1606317721
"Sosisli söylemiştim hızlı geldi, çok lezzetli ucuz ve kurye güler yüzlü.",10.0,10.0,10.0,1606231321
Klasik.,10.0,10.0,10.0,1606144921
Söyledim sipariş iki dakikaya neredeyse kapımdaydı hız çok iyiydi güler yüzlü bir kurye teslim etti yemeği ama servis biraz daha geliştirilebilir.,10.0,9.0,10.0,1605885721
Hız ve lezzet cidden mükemmel.,10.0,10.0,10.0,1605799321
Kumru harikaydı. Varlığın yeter be olimposss.,10.0,10.0,10.0,1605799321
Kızartılmış atıştırmalıklar dışında sandviç iyiydi. Kızartma da yağdan ötürü kötüydü.,10.0,10.0,7.0,1605712921
Kumru değil sadece sosis ekmek olmuş hiç kumru yemesek kumru zannederiz sosis sucuk ekmek olmuş gerek yok haksız kazanç kaşar 0 sondu buda.,8.0,4.0,1.0,1605626521
Patatesler daha az kızarabilit ve içinde mayonez olmalı.,9.0,8.0,6.0,1605540121
Buranın tostları bir harika.. Hız desen söyledikten on dakika sonra kapında... Daha ne olsun böyle devam diyeceğim bir yıldır kalitesi hiç değişmedi zaten...,10.0,10.0,10.0,1605540121
Hızlı gelen sevilen lezzet.,10.0,10.0,10.0,1605540121
Ürünler sıcak ve lezzetliydi. Kurye arkadaşın içtenliği teslim edişi çok hoşumuza gitti. Memnuniyetimiz için dükkanı arayıp teşekkür etmek istedik. Keske her esnaf böyle olsa. Hayırlı bol kazançlarınız olsun.,10.0,10.0,10.0,1605280921
Tavsiye ederim.. Kuryeniz de çok samimiydi teşekkür ederim.,10.0,10.0,10.0,1605280921
Hersey on numaraydi tsk.,10.0,10.0,10.0,1605280921
Her şeyiyle mükemmel.,10.0,10.0,10.0,1605280921
Yemek sepetine girince ilk baktigim restoransiniz yemeklerinizi çok seviyorum...,10.0,10.0,10.0,1605194521
Hızlı lezzetli ve ucuz tavsiye ediyorum herkese.,10.0,10.0,10.0,1604935321
Gayet iyiydi.,10.0,10.0,10.0,1604935321
Hız ve lezzet güzeldi.,10.0,10.0,10.0,1604935321
Ef sa ne.,10.0,10.0,10.0,1604935321
Abi 10 dk kada bunu nasil hazirladiniz birde getirdiniz valla helal olsunn cok basariliii elinize saglik.,10.0,10.0,10.0,1604762521
Tereddüt etmeden sipariş edin dün sipariş etmiştim bugün tekrar sipariş verdim.,10.0,10.0,10.0,1604676122
Hızlı ve sıcak geldi.,10.0,10.0,10.0,1604589722
Güzell.,10.0,10.0,10.0,1604589722
Güzel mekan. Öğrenci dostu.,10.0,10.0,10.0,1604589722
Tazecik pofuduk ekmek çıtır tost malzeme boll lezzet başarılı elinize sağlık.,10.0,10.0,10.0,1604503322
Ekmeğin içindeki hamur fazla olduğu için kırdıö bir puan geri kalan gayet ideal.,10.0,10.0,9.0,1604416922
Çok hızlı ve lezzetli her zaman ilk tercihimiz olimpos fast food.,10.0,10.0,10.0,1604416922
Çok iyi tek kelimeyle efsane.,10.0,10.0,10.0,1604330522
"Her şey on numara, hayatımdaki en hızlı siparişti, ama tek önerim yanına turşu ve ıslak mendil konulması.",10.0,10.0,10.0,1604330522
Çok hızlı geldii kumruda çok iyiydi tost değil karnaval elinize sağlık çok basarılı.,10.0,10.0,10.0,1604244122
Ekmekler biraz bayattı onun dışında her şey gayet iyiydi.,10.0,10.0,8.0,1604119976
Her şey güzeldi porsiyonlar çok büyüktü tekrar sipariş edeceğim.,10.0,10.0,8.0,1604119976
Gece gec saate ragmen ekmeginn taze olmasi basarilii lezzette basarili elinize saglik.,10.0,10.0,10.0,1604119976
"Hızlı, lezzetli, sıcak geliyor ve çok sıcak kanlı insanlar getiriyor siparişleri hizmet olarak memnunum zaten buna ek olarak insana gösterdiğiniz ilgiden ayrı memnunum güler yüzünüz eksik olmasın :).",10.0,10.0,10.0,1604119976
Karnaval harikaydın.,10.0,10.0,10.0,1604119976
Çok hızlı ve sıcak geldi.. Kumru ve patso çok lezzetliydi ve kurye arkadaş çok güleryüzlü.. Yeni lezzet durağımsınız teşekkürler :)).,10.0,10.0,10.0,1604119976
Guzel.,10.0,10.0,10.0,1604119976
Patatesleri ve yağınızı değiştirmeniz gerek.,8.0,7.0,5.0,1604119976
Elinize saglik basarili 10/10/10.,10.0,10.0,10.0,1604119976
Ortalamanın üzerinde.,10.0,9.0,8.0,1604119976
"Doyurucu, lezzetli ve güler yüzlü kurye. Elinize sağlık.",10.0,10.0,10.0,1604119976
Notlari dikkate aldiginiz icin tesekkurler.,10.0,10.0,10.0,1604119976
"15 dakikada geldi sipariş, bronz menüsü ef sa ne 1 puan lezzetten kırdım o da patatesler çok bayattı ama telafi edeceklerine inanıyorum.",10.0,10.0,9.0,1604119976
Başarılı bir işletme. Severek yiyoruz.,10.0,10.0,10.0,1604119976
Memnun kaldım tavsiye ederim herkese.,10.0,10.0,10.0,1604119976
Doyurucu.,9.0,8.0,8.0,1604119976
Tost ekmeğinin üstüne tereyağı sürerseniz süper olucak.,9.0,8.0,7.0,1604119976
10 numara.,10.0,10.0,10.0,1604119976
Aşırı hızlı ve iyiydi.,10.0,10.0,10.0,1604119976
Lezzetlii ricamizda yapilmis teşekkürler.,10.0,10.0,10.0,1604119976
Kalitelezzet olimpos.,10.0,10.0,10.0,1604119978
Malzemeler boldu gece geç saat için f/p ürünü ama çok yüksek lezzet beklemeyin hız iyiydi.,10.0,5.0,4.0,1604119978
Hızlı ve güzel.,10.0,10.0,10.0,1604119978
İlk defa sipariş verdim bayıldım herşey çok güzeldi gerçekten ellerinize sağlık hız olsun lezzet olsun mükemmeldii.,10.0,10.0,10.0,1604119978
Ekmeği değiştirmeniz harika olmuş her şey çok güzeldi ellerinize sağlık :).,10.0,10.0,10.0,1604119978
Çitir çitir diyosun.,10.0,10.0,10.0,1604119978
İyiydi.,10.0,10.0,10.0,1604119978
Hem hız hem lezzet kusursuzdu elinize emeğinize sağlıkkk.,10.0,10.0,10.0,1604119978
10 numara.,10.0,10.0,10.0,1604119978
Şimdi olmuş elinize saglik.,10.0,10.0,10.0,1604119978
Elinize sağlık beğendim.,10.0,10.0,10.0,1604119978
Hızlı sipariş kaliteli ürün.,10.0,10.0,10.0,1604119978
Ellerinize sağlık herşey çok güzeldii.,10.0,10.0,10.0,1604119978
Her gün sen hep sen illede sen olimpos.,10.0,10.0,10.0,1604119978
"Her açıdan harika bir işletme. Lezzet, hız. Kuryesi aşırı başarılıydı.",10.0,10.0,10.0,1604119978
Bir önceki siparişimdeki ekmekle bu ekmek arasında çok fark vardı bu değişiklik harika olmuş.,10.0,10.0,10.0,1604119978
Yeni ekmek harika çok beğendim lezzetinize lezzet katmış ellerinize sağlık :).,10.0,10.0,10.0,1604119978
İlk defa sipariş verdim. Kumru fiyat performans olarak çok iyi. Gayet doyurucu. Öğrenci dostu bi yer olduğu belli. Notları da dikkate aldılar sağ olsunlar. Diğer yiyecekleri de denicem.,10.0,10.0,10.0,1604119978
Yeni ekmeğiniz çok iyi oldu gece 3de yumuşcık ekmek geldi ellerinize sağlık.,10.0,10.0,10.0,1604119978
Tek kelimeyle harikaa.,10.0,10.0,10.0,1604119978
Eskilerden bi sen bi ben devam kee.,10.0,10.0,10.0,1604119978
Süper.,10.0,10.0,10.0,1604119978
Ufak bir anlaşmazlık yaşadığımız için dükkan sahibi siparişimi kendisi getirdi ve ikramımızdır dedi. Her ne kadar ısrar etsem de ücreti almadı. Bu jest için çok çok teşekkür ederim. Kumrunun tadı oldukça güzeldi. Elinize emeğinize sağlık. İyi çalışmalar dilerim.,10.0,10.0,10.0,1604119978
Rezalet.,3.0,3.0,3.0,1604119978
Tek adres olimpos diyebilirim herşey on numara.,10.0,10.0,10.0,1604119978
Kumru muazzam ya çok mu çok iyisiniz. Müptelası oldum.,10.0,10.0,10.0,1604119978
Kuzen tostu yapıyosunuz abi.,10.0,10.0,10.0,1604119978
Özgüveninize hayran kaldım ürünlerin arkasindaalar sonuna kadar helal olsun tesekkurler.,10.0,10.0,10.0,1604119978
On numara valla herşey. İyiki keşfetmişim sizi. Hem hızlı hem lezzetli. Fiyatlar da gayet makul. Tek tek deniyorum bütün ürünleri. Daha memnun kalmadığım olmadı. Adamsın olimpos.,10.0,10.0,10.0,1601490232
Lezzet gayet iyi serviste on numara. Çalışanlarınız güler yüzlü. Uzun zamandır severek tercihe ettiğim bir restoran. Hiçbir ürünü bayat ve kalitesiz ya da eksik gelmedi. Gelirse de iletişim kurup memnuniyetle telafi edeceklerini düşünüyorum. Gece açık olması da ayrı bir avantaj.,10.0,10.0,10.0,1601490232
Açıldığınız günden beri spariş veriyorum çok memnunum elinize sağlık.,10.0,10.0,10.0,1601490233
