comment_text,comment_speed,comment_service,comment_taste,comment_time
"Yanlış tlf sebebi ile hatam yüzünden 2 kere gidip geldiler, teşekkür ediyorum. Taze cevizli baklava için ayrı teşekkür.",10.0,10.0,10.0,1606577225
"Severek yediğim bir lezzet, tavsiyedir.",10.0,10.0,10.0,1606490825
Bir önceki siparişte çok memnun kaldığımiz için tekrar siparis verdik ama katir kutur bi şekilde yanmisti.,8.0,7.0,5.0,1605972425
Güzeldi.,10.0,10.0,10.0,1605799625
Her şey çok güzeldi özellikle hazırlayan getiren lezzeti ilgi harikaydı düşünmeden istediginix menüden alabilirsinz.,10.0,10.0,10.0,1605713225
Lavaş sertti 50 dkda geldi haliyle soğuktuda.,3.0,3.0,5.0,1605626825
Kocaelide yediğim en iyi kebap bence porsiyonu deneyin.,10.0,10.0,10.0,1605367625
"Süpersiniz, süperr...",10.0,10.0,10.0,1605108425
Ozensiz onermem.,4.0,1.0,1.0,1604676425
"Efsaneydi, tekrarlanacak.",10.0,10.0,10.0,1604417225
Cok. Soguk ve gec geldi. Birde bol. Malzeme isaretleyipte malzeme az konmus. Tablaci kebaba yakışmadı.,1.0,1.0,1.0,1604120279
Dürüm yanında salata vb. Ekleriniz yoktu. Önceki siparişlerim gibi özenli değildi. Lezzetliydi gayet teşekkürler.,10.0,7.0,10.0,1604120279
Hızı heyet iyiydi belirtildiği sürede ulaştı. Servis olarak peçete vs istemedim ama en azından bi turşu vs konulabilir. Lezzet olarak baharat biraz fazlaydı etin önüne geçiriyordu.,10.0,7.0,8.0,1604120279
Kokoreç soğuk geldi lezzetsizdi.,1.0,1.0,1.0,1604120279
Acı ezme istememe rağmen ve telefonla arayıp söylememe rağmen göndermediler.,7.0,1.0,7.0,1604120279
Sipariş verdikten sonra arayıp acı ezme istedim unutulmuş onun dışında sorun yok.,9.0,1.0,8.0,1604120279
"Önceki zamanlarda olan hızı, servisi, lezzeti çok geriye gitmiş. Eksik teslimat yada fazladan verilen para değil bu üzücü.",1.0,1.0,1.0,1604120279
Çok lezzetli ama sadece servis ve hız da problem ama lezzet süper.,5.0,5.0,10.0,1601490533
Biraz fazla yaglıydı sanki ama genel olarak iyiydi saolsunlar geç saatte aç kalmadık.,10.0,9.0,7.0,1601490533
Lezzeti gayet güzel teşekkürler.,10.0,10.0,10.0,1601490533
Guzeldi yaw.,9.0,9.0,9.0,1601490533
