comment_text,comment_speed,comment_service,comment_taste,comment_time
İlk defa yedim gayet güzel.,9.0,9.0,9.0,1606751236
Herşey cok güzeldi notları önemsiyorlar teşekürler.,10.0,10.0,10.0,1606751236
Mükemmel her zaman ki gibi.,10.0,10.0,10.0,1606664836
Her şey kaliteliydi harika.,9.0,9.0,9.0,1606664836
Gayet lezzetli ve doyurucuydu.,10.0,10.0,10.0,1606664836
Efsane ellerinize sağlık cok hızlı ve güzel.,10.0,10.0,10.0,1606664836
Bayılarak yiyorum notta istediğim sote suyundan tutun da en ufak ricanıza kadar ilgileniyorlar notlar özenle okunuyor çok sevdiğim bir işletme. Ellerinize sağlık.,10.0,10.0,10.0,1606664836
Lezettli ve güzeldi ama fiyatlar pilav için biraz fazla.,9.0,9.0,9.0,1606492036
Gayet lezzetli.,9.0,9.0,9.0,1606492036
Güzel. Ellerinize sağlık.,9.0,9.0,9.0,1606492036
Ellerinize saglik her zamanki gibi 10.,10.0,10.0,10.0,1606492036
Pilavınız gayet güzeldi elinize sağlık..,10.0,10.0,10.0,1606492036
İzmitteki en iyi pilavcı.,10.0,10.0,10.0,1606405636
Güzeldi.,10.0,10.0,10.0,1606405636
Salatasi azdı karışık pilavın ama tadı falan gayet yerindeydi.,10.0,10.0,10.0,1606405636
Tavuk sote ve pilav gerçekten harikaydı hayırlı işler.,10.0,10.0,10.0,1606319236
İlk defa spariş verdim cok lezzetliydi teşekurler.,10.0,10.0,10.0,1606319236
Muhteşemm.,10.0,10.0,10.0,1606319236
Mükemmel.,10.0,10.0,10.0,1606232836
Pek memnun kaldığımızı söyleyemem..,5.0,5.0,5.0,1606232836
Gercekten cok guzeldi ellerinize saglik kolay gelsin.,10.0,10.0,10.0,1606146436
Her zamanki gibi şahane.,10.0,10.0,10.0,1606146436
Yediğim yiyebileceğim en güzel pilav.,10.0,10.0,10.0,1606060036
İyi.,10.0,10.0,10.0,1606060036
Tuzu biraz fazlaydi.,10.0,10.0,8.0,1605973636
Pilavın tadı hiç güzel değildi bozulmuş gibi kokuyordu.,4.0,1.0,2.0,1605887236
Ara ara burdan sipariş veriyorum beğeniyordum ama bugün gelen pilavın nohutları bozulmuş gibiydi kötü bir tadı vardı.,8.0,5.0,1.0,1605887236
Güzel.,10.0,10.0,10.0,1605887236
Herşey olması gerektiği gibi.,10.0,10.0,10.0,1605887236
Sürekli sipariş verdigim yer şahaneler.,10.0,10.0,10.0,1605800837
Notlarin onemsendigi tek isletme sanirim harikasiniz.,10.0,10.0,10.0,1605800837
İzmitin en muhteşem pilavcisi harikaa.,10.0,10.0,10.0,1605714437
Her zaman 10luk.,10.0,10.0,10.0,1605628037
Sıfır lezzet parlama yazık.,1.0,1.0,1.0,1605628037
Güzel.,8.0,8.0,9.0,1605628037
Her zamankisi gibi cok guzeldi ellerinize saglik iyi isler.,10.0,10.0,10.0,1605628037
Uzun boylu kurye adamdi.,10.0,10.0,10.0,1605541637
Memnun etmedi.,8.0,6.0,5.0,1605455237
Herşey çok güzeldi elinize sağlık...,10.0,10.0,10.0,1605282437
Güzel.,10.0,10.0,10.0,1605196037
Çok güzel.,10.0,10.0,10.0,1605109637
Çiğköfte de pilav da rezalet gerçekten.,2.0,8.0,1.0,1605023237
Buradan sipariş verecekseniz bir saatten önce gelmeyeceklerini bilerek sipariş vermenizi öneririm.,1.0,1.0,1.0,1604936837
Müthiş hızlı lezzet olarak da güzel tavsiye ederim.,10.0,10.0,10.0,1604850437
Çok boldu porsiyonu aşırı doyurucu ve uygun fiyatlı. Mevsim salata da yapsanız çok güzel olur.,9.0,10.0,9.0,1604850437
Hızlı güzel ve on numara daha önce dışarıda pilav yememiş bir insanım arkadaşım istediği için söyledim hızlı geldi güzeldi herşey ve yemek sepetindeki ilk yorumum yıllar sonra.,10.0,10.0,10.0,1604850437
Kötü.,1.0,1.0,1.0,1604677637
Kesinlikle 10/10 lezzet hız çok iyi notları okudukları ve önemsedikleri çok belli hem çok hızlı geldi hem de sıcaktı tavuk soteli pilavı çok güzeldi ellerinize sağlık getiren arkadaşa da teşekkürler.,10.0,10.0,10.0,1604591237
Pilav lapaydı.,9.0,9.0,5.0,1604418437
"Bölgede bir sürü pilavcı denedim fakat burası bir başka, hem porsyonları diğerlerine göre daha büyük hem tad olarak çok iyi. Notlara dikkat ediyorlar. Emeğimizine sağlık. Allah bereket versin.",10.0,10.0,10.0,1604245637
Kürdan karabiber peçete eksiğiniz var.,10.0,5.0,10.0,1604121491
Ellerinize sağlık hersey guzeldi herkese tavsiye ediyorumm..,8.0,9.0,9.0,1604121491
Lezzetli idi baya beğendim.,10.0,10.0,10.0,1604121491
İdare eder.,7.0,7.0,6.0,1604121491
Bu puanları hak ediyor.,8.0,8.0,8.0,1604121491
Ellerinize saglik.,10.0,10.0,10.0,1604121491
Başarılı.,9.0,9.0,9.0,1604121491
Kıyak.,10.0,10.0,10.0,1604121491
Notlar önemseniyor servis hızlı pilavlar harika!,10.0,10.0,10.0,1604121491
Her zamankisi gibi sicak ve tazeydi ellerinize saglik.,10.0,10.0,10.0,1604121492
İlk defa fırın sütlacınızdan denedim pilavınız kadar sütlacınızda lezzetli...,10.0,10.0,10.0,1604121492
10dan yüksek puan veremiyor muyuz?,10.0,10.0,10.0,1604121492
Severek yiyoruz.,10.0,10.0,10.0,1604121492
Ellerinize saglik cok guzelsin.,10.0,10.0,10.0,1604121492
Keşke çiğköfte dürüme az yeşillik koysaydınız.,1.0,1.0,1.0,1604121492
Pilav harkaydı elinize sağlık.,10.0,10.0,10.0,1604121492
Pilavınızın lezzeti gerçekten çok iyi ellerinize saglık...,10.0,10.0,10.0,1604121492
Tek kelimeyle harika pilavı yapanın eline sağlık.,10.0,10.0,10.0,1604121492
Çok güzel olmuş elerinize saglık.,10.0,10.0,10.0,1604121492
Kıyak.,10.0,7.0,7.0,1604121492
Her zaman favori.,10.0,10.0,10.0,1604121492
"Öğrenciyiz dedik, kıyağını yaptı çok iyii çok hızlıı.",10.0,10.0,10.0,1604121492
Pilavını zaten severek yiyorum soteli pilavı ilk defa denedim ba yıl dım.,10.0,10.0,10.0,1604121492
Cjcjc.,10.0,10.0,10.0,1604121492
Eeehh.,8.0,6.0,5.0,1604121492
Ellerinize saglik her zamankisi gibi cok guzel di.,10.0,10.0,10.0,1604121492
Pilav üstü tavuk sote der ve geçerim.,10.0,10.0,10.0,1604121492
Çok yavaşsınız 1 saate siparişim geldi ve çok tuzluydu beğenmedim.,1.0,1.0,1.0,1604121492
Şahane annemin pilavından daha lezzetli diye bilirim elinize sağlık.,10.0,10.0,10.0,1604121492
Her zamankisi gibi cok guzel ve lezzetli evinize sakin.,10.0,10.0,10.0,1604121492
Elerinize saglık şahaneydi.,10.0,10.0,10.0,1604121492
Tavuklu pilavı verdiğim puanlar gibi.,10.0,10.0,10.0,1604121492
Pilav yanında acı biber turşusu konabilir.,8.0,8.0,9.0,1604121492
Nohut olmasa daha güzel tavuk pilav söylüyorum nohut geliyo.,10.0,10.0,10.0,1604121492
Bagimlisi olduk pilavinizin allah affetsin ne diyelim.,10.0,10.0,10.0,1604121492
Her zamanki gibi mükemeldi elerinize saglık :).,10.0,10.0,10.0,1604121492
Elinize sağlık yediğim en lezzetli pilavdı lezzetinizi sakın bozmayın iyi calışmalar.,10.0,10.0,10.0,1604121492
Kralarr.,10.0,10.0,10.0,1604121492
Pilav bozuktu ölüyoduk.,3.0,3.0,1.0,1604121493
Very pörfekt.,10.0,10.0,10.0,1604121493
Tavuk soteli efso karşimm.,10.0,10.0,10.0,1601491747
Harika!,10.0,10.0,10.0,1601491747
Salata az geldi ama yine de çok doyurucuydu karışık pilavı. Bir de seka pilavcisi gibi ciger ve fasulye de olsa daha guzel olurdu.,10.0,10.0,10.0,1601491747
On numara beş yıldız.,10.0,10.0,10.0,1601491747
On numara.,10.0,10.0,10.0,1601491747
Güzel.,10.0,10.0,10.0,1601491747
Herşey çok güzeldi.,10.0,10.0,10.0,1601491747
Tek kelimeyle harikaydı elinize sağlık.,10.0,10.0,10.0,1601491747
Pilav biraz fazla tuzluydu onun dışında hız ve servis çok hızlıydı teşekkürler.,10.0,10.0,8.0,1601491747
Herşey 10 numara herzamanda sipariş veriyorum ellerinize saglık...,10.0,10.0,10.0,1601491747
Hiçbir zaman pişman etmediğiniz için teşekkürler ellerinize sağlık.,10.0,10.0,10.0,1601491747
Tavuk pilav tamamen bayattı hem son paramı harcadım hem de aç kaldım.,1.0,1.0,1.0,1601491747
İlk defa spariş verdim yediğim en lezzetli pilavdı elinize sağlık.,10.0,10.0,10.0,1601491747
Ya yazıklar olsun rezilik kokmus pilavi eve getirdiniz sanki biz parayı yolda buluyoruz.,1.0,1.0,1.0,1601491747
Tavuk kokuyordu geldiği zaman.,1.0,1.0,1.0,1601491747
Daha geç gelemezdi herhalde.,1.0,8.0,7.0,1601491747
Mukemmell.,10.0,10.0,10.0,1601491747
Gece gec saatte istememe rağmen gayet sıcak ve güzeldi elinize sağlık.,10.0,10.0,10.0,1601491747
Puan düşürmedim ama gerçekten biraz daha özen gösterin insanlar güvenerek sipariş ediyorlar.,10.0,10.0,10.0,1601491747
Birkaç çeşit pilav söyledik bazı pilavlar bozulmuştu.,10.0,5.0,1.0,1601491747
13 dk da geldi fakat soğuktu ılık bile değildi.,10.0,7.0,7.0,1601491747
Ellerinize saglik cok guzeldi.,10.0,10.0,10.0,1601491747
Birgun önce 20 tl sınırı varken birgün sonra 30 tl sinir olması çok sacma!,8.0,8.0,8.0,1601491747
Çok memnun kaldım gayet güler yüzlü teslimat ve lezzetli ürünler.,10.0,10.0,10.0,1601491747
Porsiyonlar büyük ve pilavlar çok lezzetli. Ellerinize sağlık.,10.0,10.0,10.0,1601491747
On numaraydı elerinize saglık.,10.0,10.0,10.0,1601491747
Ciğerli pilav söyledim. Pilav muhtemelen beklemiş halde yollamışlar. Yarısını zor yedim.,5.0,1.0,1.0,1601491747
Çig köfte çok acıydı yiyemedik :(.,6.0,3.0,3.0,1601491747
"Pilav soğuk geldi, nohutlu pilavın içinde 4 tane nohut çıktı beğenmedim.",1.0,1.0,1.0,1601491747
Harika.,10.0,10.0,10.0,1601491747
Servis hızlıydı ancak pilav kötüydü.,8.0,7.0,3.0,1601491747
Beklediğimizden daha erken geldi ve çok güzeldi.,10.0,10.0,10.0,1601491747
Güzel ve lezzetliydi. Tavsiye ederim.,9.0,10.0,10.0,1601491747
Çok hızlı ve çok lezzetli. Tek sıkintı biraz fazla yağlı onun dışında güzel.,10.0,10.0,9.0,1598862001
"Tavuk pilav 1, 5 porsiyon sipariş ettik iki adet. Gayet güzeldi, beğendik.",9.0,8.0,9.0,1598862001
Cok güzel.,5.0,5.0,5.0,1598862001
Harika!,10.0,10.0,10.0,1598862001
Pilavınız harikaydı elinize sağlık.,10.0,10.0,10.0,1598862001
Pakete turşu biber ve ıslak mendil de koyarsanız daha iyi olur.,9.0,9.0,9.0,1598862001
Ayran istedim kola geldi bu hiç hoş olmayan bi durum.,5.0,1.0,8.0,1598862001
Tavuk sote pilavı çok iyi sebze biraz daha az olabilir.,10.0,10.0,9.0,1598862001
Mükemmel bir pilav mükemmel bir lezzet çok hızlı geldi ailecek çok beğendik başarılarınızin devamını dilerim.,10.0,10.0,10.0,1598862001
Fffeennnaa.,10.0,10.0,10.0,1598862001
Fiyat performans çok iyi tavuk soteyi herkese tavsiye ederim.,10.0,10.0,10.0,1598862001
Gayet başarılı elinize sağlık.,10.0,10.0,10.0,1598862001
"Hızlı geldi, fiyatı ekonomik, pilav kuruydu, genelde yanında minik turşu olur pilav siparişlerinde o da yoktu.",10.0,7.0,6.0,1598862001
Kurye çok efendi bir kardeş.. İşini seviyor belli. Bir sendikacı olarak emekçinin yanındayım güzel bir ücret veriyorsunuzdur inşallah.,9.0,9.0,9.0,1598862001
Pilav üstü sote de tavuk biraz daha olabilirdi lezeeti iyiydi teşekkür ederim.,10.0,8.0,8.0,1598862001
Başarılı elinize sağlık.,10.0,9.0,10.0,1598862001
Sürekli spariş verdiğim yer gayet lezzetli elinize sağlık.,10.0,10.0,10.0,1598862001
Pilav lezzetsiz ve ciğerde kötü koku vardı.. Hız ve serviste sikinti yok ama lezzet konusunu çözün.,10.0,10.0,5.0,1598862001
Harika elinize sağlık.,10.0,10.0,10.0,1598862001
Hızlıydı ve iyiydi.,10.0,10.0,10.0,1598862001
Porsiyon kocaman ama pilavın tadı tuzu yağı biraz eksikti.,10.0,10.0,8.0,1598862001
Ya siz bitanesiniz pilavınız şahane.,10.0,10.0,10.0,1598862001
Güzeldi.,9.0,9.0,9.0,1598862001
Gayet güzel ve lezzetliydi.,8.0,9.0,9.0,1598862001
Tavuğu cok olsn dıye bir buçuk söyledim ona bile bir kaşık tavuk koyup gondermışsınız her zaman ki gibi bir daha asla söylemem.,1.0,1.0,1.0,1598862001
Allah razı olsun aç olduğumuz için bozuk pilav ve ciğer gönderdiniz. Hiç mi utanmadiniz paketlerken o ürünleri yazıklar olsun.,1.0,1.0,1.0,1598862002
Tesekkurler.,10.0,10.0,10.0,1598862002
Kurye cok nazik.,10.0,10.0,10.0,1598862002
"Lezzetli tam kıvamında, oldukça hızlı teslimat, ailecek beğenerek tüketiyoruz.",10.0,10.0,10.0,1598862002
Pilav keşke daha taze olsa.,10.0,10.0,8.0,1598862002
Harikaydı herşey elinize sağluk.,10.0,10.0,10.0,1598862002
Basarili.,9.0,9.0,9.0,1598862002
Aso.,9.0,9.0,9.0,1598862002
Her şey çok iyiydi.,10.0,10.0,10.0,1598862002
Her konuda güzeldi.,10.0,10.0,10.0,1598862002
Teşekkürler.,10.0,10.0,10.0,1598862002
Gayet başarılı.,10.0,10.0,10.0,1598862002
Pilav çok kuru geldi çiğ köfte ise güzel deildi.,7.0,5.0,7.0,1598862002
Ya 01. 00 saatte geldi soguktu.,1.0,8.0,3.0,1596232256
Tat olarak güzel fakat yanına karabiber gelmedi yanında gelen ayran da sıcaktı.,9.0,7.0,9.0,1596232256
Elinize sağlık harika.,10.0,10.0,10.0,1596232256
Diyecek laf yok efsane.,10.0,10.0,10.0,1596232256
Fiyat performans efsane!,10.0,10.0,10.0,1596232256
1 saat 40 dakikada geldi lezzet güzeldi keşke hatalarini telafi etselerdi inşallah daha hızlı olursunuz.,1.0,10.0,10.0,1596232256
Tek kelimeyle mükemmel gece 12 süper bir pilav üstü tavuk yedim sıcak ve koku yoktu.,10.0,9.0,10.0,1596232256
Gayet doyurucuydu.,8.0,8.0,9.0,1596232256
Güzel sayılır.,1.0,1.0,1.0,1596232256
Güzel.,10.0,10.0,10.0,1596232256
Tek kelimeyle harikaydı.,10.0,10.0,10.0,1596232256
Güzel bir yer.,10.0,10.0,10.0,1596232256
Aso.,9.0,9.0,9.0,1596232256
Sürekli sipariş verdiğim bir yer gayet lezzetli elinize sağlık.,10.0,10.0,10.0,1596232256
Herzamanki gibi güzel.,10.0,10.0,10.0,1596232256
Pilav biraz daha yumşak olabilir. Onun haricinde güzeldi.,10.0,10.0,9.0,1596232258
Bi kaç tane iyi yoruma bakıp sipariş verdim ama hiç beğenmedim 52 dakika da geldi sipariş soğumuştu ve pilav tadı olmayan bir pilavdı.,1.0,1.0,1.0,1596232258
Tavuklu pilavı güzel.,8.0,10.0,10.0,1596232258
Ogrenci dostu işletme...,10.0,10.0,10.0,1596232258
Lezzetli ilgi ve alaka güzel serviste olması gerektiği gibi.,10.0,10.0,10.0,1596232258
Hızlı v güzeldi özelikle tavuk sotesi efsaneydi.,10.0,10.0,10.0,1596232258
1. 5 porsiyon bu kadar az olmamalı. Ayrıca salatada soğan olsunu özellikle işaretlemiştim ancak soğansız geldi.,8.0,1.0,6.0,1596232258
Çok yavaş geldi.,1.0,1.0,1.0,1596232258
Yavaş geldi beğenmedim.,3.0,6.0,2.0,1596232258
Ne pilav ne de tavuk sotesi güzel değildi.,6.0,8.0,5.0,1596232258
Abicim tadi efsane güzel ama karabiber yok ıslak kuru mendil yok kaşık koymayı unutmuşsunuz bunlar önemli.,7.0,6.0,10.0,1593602512
Çok güzeldi.,10.0,10.0,10.0,1593602512
"Özellikle nohut, tavuk yapabilir miyiz diye sordum çünkü menülerinde yok. Ve... Yapmadılar. Onun dışında hız ve lezzet iyiydi.",9.0,5.0,9.0,1593602512
Herşeyiyle çok iyi pilav yan ürünler biraz daha geliştirebilinir.,10.0,8.0,10.0,1593602512
"Paketçi arkadaş sağolsun bozuk yok diye hiç üşenmedi gitti bozdurdu geldi, pedere güvenmem pilavlanda güvendiğim kadar, teşekkürler seviliyosunuz.",10.0,10.0,10.0,1593602512
Malzeme azdı.,7.0,7.0,6.0,1593602512
Tavukları çok kuru ayrıca notlara daha çok dikkat edin lütfen.,7.0,9.0,7.0,1593602512
10 dakika kadar kısa bir sürede geldi. Pilavın lezzeti geç saatlerde sipariş etmeme rağmen güzeldi. Yanında ketçap da yollasalar küçük bir pakette on numara olur.,10.0,9.0,10.0,1593602512
Pilav güzel ama nohut 100gr olmasına rağmen içinde yok denecek kadar azdı.,8.0,8.0,6.0,1593602512
Gayet sıcak ve lezzetli geldi elinize sağlık.,10.0,10.0,10.0,1593602512
Gayet lezzetli sicak ve hizliydi ellerinize saglik.,10.0,10.0,10.0,1593602512
Sürekli sipariş verdiğim bir yer çokta memnunum taki dün akşam işi bitmiş pilavı alana kadar bunu burda söylemek istemezdim ama lütfen gönderdiğiniz yiyeceklerin saatinin geçmiş olmasına dikkat edin.,10.0,10.0,6.0,1593602512
Abi harika hız servis lezzet gayet güzeldi.,10.0,10.0,10.0,1593602512
