comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzel.,8.0,8.0,8.0,1606494510
"Marullarda ki çamur degil, muhtemelen hizli olabilmek icin onceden paketlenmisler bozulmaya baslamis. Salata harici herhangi bir sorun yoktu. Dikkat edin lutfen.",10.0,10.0,10.0,1604939310
Marulunda çamur vardi onun dışında guzeldi.,10.0,7.0,10.0,1604420910
Hiç güzel değildi bozuktu etleri.,1.0,1.0,1.0,1604123964
Gerçekten berbat yiyemedim çöpe attım..,1.0,1.0,1.0,1604123964
Lahmacunlar çok güzel.,10.0,10.0,10.0,1604123964
İçi cok kuruydu. İlk kez begenmedik. Yine de elinize emeginize saglik.,10.0,10.0,2.0,1604123964
Lahmacunlari cok guzel.,10.0,10.0,10.0,1601494218
"Mükemmel demek doğru olur. Sıcak, hızlı ve çok lezzetli lahmacunları. Teşekkür ederim.",10.0,10.0,10.0,1601494218
"300 ml kutu kola sipariş etmiştim, 200 ml küçük şişede kola gönderilmiş, onum dışınsa lezzet ve servis güzeldi.",9.0,9.0,8.0,1601494218
Bu fiyata cok lezzetli.,10.0,10.0,10.0,1601494218
Berbattttttt gerçekten berbat ötesi yahu lahmacunun kötülüğünü hiç söylemiyorum zaten abi 4 tane lahmacuna bir dilim limon koymak nedir ya bir dilimmm rezalet.,1.0,1.0,1.0,1598864472
Bu kadar hızlı servis yapan başka bir işletme ile karşılaşmadım. Hızın yanında servis ve lezzet de mükemmel.,10.0,10.0,10.0,1598864472
Lahmacunlar tam pişmiyor.,10.0,10.0,5.0,1598864472
Çok hızlı.,10.0,10.0,10.0,1598864472
Ne olur bir daha lahmacun yapmayın...,5.0,1.0,1.0,1598864472
Acı ve lezzetsiz. Servis de vasat.,10.0,5.0,3.0,1598864472
"Lahmacunun hamuru tam pişmemişti bu sefer, ama bu lahmacunun kötü olduğu anlamına gelmez.",10.0,10.0,10.0,1596234726
Lezzetli.,10.0,10.0,10.0,1596234726
Hız ve lezzet bakımından çok iyi. Siparişi verdikten 20 dk sonra elimde oluyor.,10.0,10.0,10.0,1596234726
"Lahmacun harici tercih edecegimi dusunmuyorum, diger urunlerde iyilestirmeye gidin ltfn.",10.0,10.0,10.0,1596234726
Mahallemizin bir numarası.,10.0,10.0,10.0,1596234726
Acılı olan çok acılıydı.,10.0,10.0,6.0,1596234726
Tek sorun soğuk gelmeleriydi.. Mesafeden ötürü anlasılabilir.,10.0,10.0,5.0,1596234726
Lahmacun guzel ama salata cok az.,10.0,6.0,10.0,1596234726
Çok iyi.,10.0,10.0,10.0,1596234726
Müthiş lezzet.,10.0,10.0,10.0,1593604980
