comment_text,comment_speed,comment_service,comment_taste,comment_time
Tombik döner lezzetliydi.,9.0,9.0,9.0,1606408962
Hiç bu kadar kötü tombik yememistim teşekürler.,2.0,2.0,1.0,1606149762
"10-10-10 cunku 20 dakikada geldi, tursuyla geldi, acayip lezzetliydi. Sosu biraz fazla koymaniz harika olmustu, lavaslar yumusacikti. Enfes!",10.0,10.0,10.0,1606149762
Tombik doner ve kofte harikaydi ama kavurmali pide icin ayni seyi soyleyemeyecegim. Pideyi keske kapali olarak belirtseniz menude. Kapali pide sevmiyorum oyle oldugunu bilseydim baska birsey siparis ederdim. Kavurmalarda pidenin icinde kurumustu. Onun haricinde hersey iyidi.,10.0,10.0,8.0,1605544962
Süperdi... Çok hızlı geldi ve çok sıcaktı.,10.0,10.0,10.0,1605458562
Hız servis lezzet hepsi süperdi teşekkür ederim.,10.0,10.0,10.0,1605458562
Tuğrul beye siparişimi hızlı özenli ve sıcak getirdiği için teşekkür ederim.,10.0,10.0,10.0,1605372162
Hız dışında herşey mükemmeldi.,6.0,10.0,10.0,1604508162
Sonunda izmit te hakiki bir iskender yedim elinize sağlık.. Kurye arkadaşa da teşekkürler.,10.0,10.0,10.0,1604335362
20-30 dk yazmasına rqğmen 1 saati geçti gelmesi buz gibi geldi çok pişman oldum.,1.0,1.0,1.0,1604335362
"Lezzeti çok güzeldi. Özellikle kuryenizin nezaketi bizi daha çok cezbetti, bebeğimiz olduğunu belirttik çok sessiz davrandı dış kapıyı bile çok yavaş kapattı. Önder arkadaşımıza çok teşekkür ederiz, böyle insanlarla çalısmanız bizi çok mutlu etti..",10.0,10.0,10.0,1604162562
Bekletmediler. Lezzetliydi de. Memnun kaldik tesekkurler.,9.0,9.0,9.0,1604124816
Et döner çok kezzetli fakat ekmeğin içi çok ıslaktı buharda ısıtılmış gibiydi ve içerisinde marul yazmasına rağmen yalnızca biber ve domates vardı.,8.0,7.0,6.0,1604124816
Cok lezzetliydi.,10.0,10.0,10.0,1604124816
